FECHA,HUESPEDES,NIVEL_STOCK,Salidas_BC
30-01-2023,217,79,60
31-01-2023,188,79,0
01-02-2023,197,59,0
02-02-2023,222,209,40
03-02-2023,245,209,0
04-02-2023,229,139,50
05-02-2023,209,139,0
06-02-2023,235,99,71
07-02-2023,223,29,20
08-02-2023,247,29,20
09-02-2023,247,159,30
10-02-2023,258,109,20
11-02-2023,257,109,0
12-02-2023,228,109,0
13-02-2023,263,259,90
14-02-2023,260,259,0
15-02-2023,256,139,30
16-02-2023,254,139,0
17-02-2023,229,139,0
18-02-2023,245,119,20
19-02-2023,207,119,0
20-02-2023,220,89,50
21-02-2023,237,89,0
22-02-2023,208,282,60
23-02-2023,212,282,0
24-02-2023,224,211,11
25-02-2023,162,211,0
26-02-2023,107,211,0
27-02-2023,90,189,44
28-02-2023,97,189,0
01-03-2023,182,146,21
02-03-2023,146,255,55
03-03-2023,164,178,22
04-03-2023,158,168,10
05-03-2023,84,168,0
06-03-2023,77,168,0
07-03-2023,74,168,0
08-03-2023,90,281,0
09-03-2023,80,260,21
10-03-2023,115,238,33
11-03-2023,146,238,0
12-03-2023,94,238,0
13-03-2023,157,238,0
14-03-2023,175,238,0
15-03-2023,184,238,0
16-03-2023,189,358,80
17-03-2023,187,257,21
18-03-2023,226,234,23
19-03-2023,166,234,0
20-03-2023,165,224,11
21-03-2023,187,213,11
22-03-2023,195,213,21
23-03-2023,176,277,43
24-03-2023,233,224,10
25-03-2023,225,224,0
26-03-2023,182,224,0
27-03-2023,200,220,7
28-03-2023,198,207,52
29-03-2023,182,133,32
30-03-2023,175,294,11
31-03-2023,148,294,0
01-04-2023,191,294,0
02-04-2023,166,294,0
03-04-2023,148,250,118
04-04-2023,140,132,43
05-04-2023,161,101,21
06-04-2023,221,188,0
07-04-2023,253,168,32
08-04-2023,246,135,22
09-04-2023,133,135,0
10-04-2023,144,124,11
11-04-2023,177,102,44
12-04-2023,178,59,31
13-04-2023,144,16,49
14-04-2023,177,181,34
15-04-2023,174,160,42
16-04-2023,111,160,0
17-04-2023,124,118,21
18-04-2023,111,95,22
19-04-2023,247,95,0
20-04-2023,247,296,0
21-04-2023,187,296,0
22-04-2023,200,296,0
23-04-2023,152,296,0
24-04-2023,210,296,54
25-04-2023,132,296,0
26-04-2023,124,296,0
27-04-2023,163,296,0
